18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:35:37.240989 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is dropped
10:35:41.247708 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 9.2ms
10:35:41.263276 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:45.254800 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is dropped
10:35:49.260068 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 8.6ms
10:35:49.275829 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:53.262349 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 9.9ms
10:35:53.279032 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:57.272636 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 4.7ms
10:35:57.287989 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:36:01.275312 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 8.8ms
